Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
LDA shrinkage,linear,hybrid_50,80,0.6739591836734693,0.08372239485496039,0.6265507246376811,0.5443664283804595,0.6943604837303446,0.66,0.6963768115942028,0.6166666666666667,0.6893333333333334,0.7828324693495612
SVM RBF C=10 balanced,svm_weighted,undersample_mild,80,0.665469387755102,0.04377109059084398,0.5695072463768115,0.5113263441635534,0.6693109575875594,0.68,0.5557971014492754,0.5626984126984127,0.6892063492063493,0.7677346565878127
KNN k=5 distance,neighbors,undersample_mild,80,0.665469387755102,0.040113624540828806,0.4863478260869566,0.45931689453610175,0.6534426491666782,0.66,0.4891304347826087,0.454978354978355,0.6535930735930735,0.7573327666623224
Logistic Regression balanced,linear_weighted,oversample_equal,80,0.6610612244897959,0.04687633824273249,0.5827246376811595,0.5322818684435248,0.6751466709176341,0.62,0.5837681159420289,0.5327600327600327,0.6397624897624897,0.7675175981785008
GradientBoosting,boosting,oversample_equal,80,0.6609795918367347,0.04565418790176425,0.44660869565217387,0.4505545262139619,0.6632519128890536,0.7,0.3265217391304348,0.3145454545454546,0.6770909090909092,0.7510904970795271
GradientBoosting,boosting,hybrid_50,80,0.6572244897959184,0.0674605843856073,0.4834782608695652,0.4887795345187985,0.6645499205951302,0.62,0.5630434782608695,0.46175710594315245,0.6235142118863048,0.7549803966996781
AdaBoost,boosting,undersample_mild,80,0.657061224489796,0.0942128528438818,0.4724057971014493,0.435765351005627,0.642497151685158,0.5,0.23304347826086955,0.23555555555555552,0.5057777777777778,0.7442142946909214
QDA PCA4 regularized,linear,none,80,0.6528163265306123,0.04619254200744464,0.3689855072463768,0.3761088370093813,0.6329246250588161,0.62,0.29304347826086957,0.273768043802887,0.5855848680935789,0.7280380939324885
LDA shrinkage,linear,oversample_equal,80,0.6491428571428571,0.045616951772846796,0.6145507246376811,0.5412965411501997,0.6740663970277707,0.6,0.6663768115942028,0.5492063492063493,0.623174603174603,0.7574021653728971
GradientBoosting,boosting,undersample_mild,80,0.6448979591836734,0.07092040813390188,0.512695652173913,0.4859966770857299,0.6574601917491657,0.64,0.39173913043478265,0.347932883584155,0.6168413769244077,0.7420972946008194
Stacking SVM+LDA+ET,ensemble,undersample_mild,80,0.6209795918367347,0.03410408645655586,0.5473333333333333,0.4747083067083067,0.6567815152794745,0.64,0.6863768115942028,0.6451770451770452,0.6608302808302808,0.715921253178396
