feature
sym_h
solidity
eccentricity
extent
perimeter
compactness
r_mean
r_std
g_max
g_mean
g_std
b_max
b_median
b_std
bg_brightness
color_dominance
edge_density
saturation_mean
r_range
g_range
b_range
median_channel_spread
range_channel_spread
max_color_std
rg_mean_diff
gb_mean_diff
rb_mean_ratio
gb_mean_ratio
red_cv
green_cv
blue_cv
saturation_brightness_ratio
bug_bg_brightness_absdiff
symmetry_absdiff
perimeter_area_ratio
convex_area_ratio
eccentricity_aspect_product
edge_texture_product
edge_pixel_product
texture_saturation_ratio
