Model,Family,Imbalance Strategy,Feature Count,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1,Holdout Weighted F1,Selection Score
LightGBM regularized,lightgbm,none,80,0.7337142857142858,0.02813497543951463,0.46997101449275364,0.4987027497430441,0.7123225788024404,0.7,0.3265217391304348,0.30763285024154585,0.6622222222222223,0.8334548356628946
CatBoost regularized,catboost,none,80,0.7255510204081632,0.04474526912093285,0.33704347826086956,0.3109978514139089,0.6736221470637997,0.68,0.31913043478260866,0.29239332096474957,0.6284230055658626,0.787750590690945
CatBoost shallow,catboost,balanced_weight,80,0.7253061224489796,0.0958799749478569,0.6340289855072463,0.6172238670504694,0.7325374803579543,0.58,0.3656521739130435,0.32075841778358943,0.5733965348152992,0.8487508958590735
LightGBM regularized,lightgbm,balanced_weight,80,0.7215510204081632,0.0655446663756534,0.5350144927536232,0.5484150910428254,0.7238567406635241,0.68,0.3771014492753623,0.37937888198757763,0.6656149068322982,0.8312340386167283
CatBoost regularized,catboost,hybrid_50,80,0.7174693877551019,0.04214601460721965,0.6071014492753622,0.5804143113899212,0.7191912819016851,0.52,0.42826086956521736,0.3633333333333333,0.5226666666666666,0.8335522500330862
CatBoost compact,catboost,oversample_equal,80,0.7093877551020409,0.03974680381063591,0.5014202898550725,0.496178721340992,0.7004472949977829,0.66,0.31043478260869567,0.30997782705099775,0.6638580931263857,0.8086234993702393
XGBoost shallow,xgboost,balanced_weight,80,0.709061224489796,0.09325808037029475,0.5660579710144927,0.572988043432888,0.7100400188236315,0.68,0.3771014492753623,0.3660455486542443,0.6616149068322982,0.8236588331763737
LightGBM compact,lightgbm,oversample_equal,80,0.7088979591836735,0.0882076230059031,0.5091884057971015,0.507001456177268,0.7056170291874179,0.68,0.3718840579710144,0.3653584510727368,0.6639141810570383,0.8102982504191271
LightGBM regularized,lightgbm,oversample_equal,80,0.7048163265306122,0.10231714421754053,0.5370434782608695,0.5217699083230998,0.702623877709071,0.66,0.3052173913043478,0.30170212765957444,0.6519148936170213,0.8091703081952322
XGBoost conservative,xgboost,oversample_equal,80,0.7012244897959184,0.05537318022183708,0.5242318840579709,0.5255811886433961,0.7042641822848684,0.7,0.44115942028985505,0.4212121212121212,0.6945021645021644,0.8063407275245977
LightGBM shallow,lightgbm,oversample_equal,80,0.701061224489796,0.06557221300749688,0.5121159420289855,0.5157853838783152,0.7011269667622411,0.66,0.36318840579710143,0.3564435218820273,0.645511157239232,0.8042183012654591
CatBoost compact,catboost,hybrid_50,80,0.697469387755102,0.042837624321104134,0.5384347826086957,0.5341686641931378,0.6924756231187115,0.54,0.3456521739130435,0.3128205128205128,0.5394871794871795,0.8043031205937297
CatBoost regularized,catboost,oversample_equal,80,0.6973877551020408,0.030353299362245522,0.5489855072463767,0.5413824144849747,0.7017678062150372,0.68,0.4130434782608695,0.3701754385964912,0.6614035087719298,0.8056642379990357
