Model,CV Mean,CV Std,Test Acc
Logistic Regression (balanced),0.6406530612244898,0.0725059735579261,0.68
KNN (best),0.7382040816326529,0.052419097339909064,0.6
SVM (best),0.7622857142857143,0.043599479571536016,0.7
Random Forest (best),0.7053061224489796,0.059384038035017794,0.7
Gradient Boosting,0.6849795918367347,0.06827360005746241,0.64
LDA,0.7419591836734692,0.03907672479441004,0.7
