Model,Family,Fit Strategy,Folds,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Balanced Acc Std,CV Macro F1 Mean,CV Macro F1 Std,CV Weighted F1 Mean,CV Weighted F1 Std
Voting SVM+LDA+ET,fusion,none,50,0.7927999999999998,0.04205506079267652,0.5898695652173912,0.08705178477500722,0.5988794285039019,0.08984652817918405,0.7759186590320075,0.044333867250838876
SVM RBF C=10,svm,none,50,0.7670285714285715,0.04408641621815538,0.5693565217391304,0.07961324893249278,0.5758891673984311,0.0816926123558922,0.7520858099691223,0.04483671056688458
SVM RBF C=10 balanced,svm_weighted,none,50,0.7577877551020409,0.051740298533105473,0.5670724637681159,0.08405496246490057,0.5647474396356348,0.08434813236627878,0.7498078189183991,0.051061426887252605
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,50,0.7480897959183673,0.05271236590561014,0.6283884057971014,0.10161167390970487,0.6020221182759102,0.0962316088853744,0.745218541082219,0.054605698069589155
LDA shrinkage,linear,none,50,0.7480816326530612,0.05384098944985695,0.6014173913043478,0.10513252971784197,0.581340214074074,0.10516342343382684,0.7399866633775594,0.05656743041440284
Two-stage LDA/LDA/LDA,two_stage,none,50,0.7291265306122449,0.05186486525799429,0.5084927536231884,0.09348962519394113,0.5094524333958603,0.09125604633908162,0.7183353029826077,0.05133486458959661
Two-stage SVM/SVM/LDA,two_stage,none,50,0.7158040816326531,0.05650412936003463,0.5916666666666667,0.08007130958575343,0.5551659891566676,0.08040137001370301,0.7252041327991152,0.05294190988822884
Two-stage SVM/SVM/SVM,two_stage,none,50,0.7149877551020408,0.05790690600091596,0.5876666666666667,0.08131440817140276,0.5578799862706648,0.08190540292812905,0.7250693034561224,0.053273445976149386
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,50,0.7129877551020408,0.06413712351084119,0.5886260869565217,0.08158288716036415,0.564449350466043,0.08530811852588423,0.7112894074008302,0.06355992412369223
